order_id,uuid,frameworkUUID,function,functionID,category,categoryID,category_statement,subcategory,control_statement,default_question,reference,framework_id,subcategoryID
61,6060e71c662541b19b20e18bb32f9579,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","A vulnerability management plan is developed and implemented","Describe in detail how your organization has implemented a vulnerability management plan that identifies and remediates vulnerabilities on a routine basis.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-12
62,ed71ea0fddc84435b43fbf10deac3c21,faa6919f201c4bd4bfec3bc337f1e381,PR,"",Maintenance,PR.MA,"Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.","","Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","Describe in detail how your organization creates and maintains logs of maintenance and has processes to approve and control maintenance tools.","",faa6919f201c4bd4bfec3bc337f1e381,PR.MA-1
63,ea422ed97217427eadd2a642a79d13e2,faa6919f201c4bd4bfec3bc337f1e381,PR,"",Maintenance,PR.MA,"Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.","","Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","Describe in detail how your organization creates and maintains logs of remote maintenance and has processes approve remote maintenance.","",faa6919f201c4bd4bfec3bc337f1e381,PR.MA-2
64,40dcf2dd5e764ad4a1085183ed994e00,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Protective Technology",PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","","Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","Describe in detail how your organization creates audit logs on information systems and reviews them in accordance with security policies.","",faa6919f201c4bd4bfec3bc337f1e381,PR.PT-1
65,5a96a873e1e54494a3a7b483d76e1e69,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Protective Technology",PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","","Removable media is protected and its use restricted according to policy","Describe in detail how your organization restricts use of removable media.","",faa6919f201c4bd4bfec3bc337f1e381,PR.PT-2
66,90543ff49dc748fd8fac6c1c3aee0623,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Protective Technology",PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","","The principle of least functionality is incorporated by configuring systems to provide only essential capabilities","Describe in detail how your organization restricts access to information systems and incorporates the security principle of least privilege.","",faa6919f201c4bd4bfec3bc337f1e381,PR.PT-3
67,6e00651250e1462eb63ca392b9540928,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Protective Technology",PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","","Communications and control networks are protected","Describe in detail how your organization leverages mechanisms to protect network communications.","",faa6919f201c4bd4bfec3bc337f1e381,PR.PT-4
68,dbb6866b9cd84dcd953ba2ecc137db54,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Protective Technology",PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","","Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations","Describe in detail how your organization leverages resiliency mechanisms (such as failsafe or high availability).","",faa6919f201c4bd4bfec3bc337f1e381,PR.PT-5
69,88a4d111b6eb4a4ca8e2fe12dcd73884,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Anomalies and Events",DE.AE,"Anomalous activity is detected and the potential impact of events is understood.","","A baseline of network operations and expected data flows for users and systems is established and managed","Describe in detail how your organization creates and maintains a baseline of network operations and expected data flows for information systems.","",faa6919f201c4bd4bfec3bc337f1e381,DE.AE-1
70,c4a2dbd4e1724b8e8bd91e93b616f315,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Anomalies and Events",DE.AE,"Anomalous activity is detected and the potential impact of events is understood.","","Detected events are analyzed to understand attack targets and methods","Describe in detail how your organization analyzes security events to understand attack targets and methods.","",faa6919f201c4bd4bfec3bc337f1e381,DE.AE-2
71,4acb8103fd17494e9c63111e1fe3c27e,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Anomalies and Events",DE.AE,"Anomalous activity is detected and the potential impact of events is understood.","","Event data are collected and correlated from multiple sources and sensors","Describe in detail how your organization aggregates data sources to better understand the total impact of a security event.","",faa6919f201c4bd4bfec3bc337f1e381,DE.AE-3
72,49c5dba6acd64a54a6e564b03bf2e37d,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Anomalies and Events",DE.AE,"Anomalous activity is detected and the potential impact of events is understood.","","Impact of events is determined","Describe in detail how your organization is able to determine the impact of security events in their network.","",faa6919f201c4bd4bfec3bc337f1e381,DE.AE-4
73,0507c8ad678744b9b61480d68ecdc41c,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Anomalies and Events",DE.AE,"Anomalous activity is detected and the potential impact of events is understood.","","Incident alert thresholds are established","Describe in detail how your organization establishes thresholds for alerts.","",faa6919f201c4bd4bfec3bc337f1e381,DE.AE-5
74,f8044af14c274292b7ea3a6aff296629,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","The network is monitored to detect potential cybersecurity events","Describe in detail how your organization network is monitored to detect potential cybersecurity events.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-1
75,3ff1e054929d4419a3123ceeed69842f,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","The physical environment is monitored to detect potential cybersecurity events","Describe in detail how your organization physical environment is monitored to detect potential cybersecurity events.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-2
76,425f1fbc2c6c4dfa8047cb8874cdd7c3,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","Personnel activity is monitored to detect potential cybersecurity events","Describe in detail how your organization personnel activity is monitored to detect potential cybersecurity events.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-3
77,6736d334e55f40d88914d34cf8ba15a2,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","Malicious code is detected","Describe in detail how your organization monitors for malicious code use.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-4
78,3ced83ae22d548ebad96165f1a3f5e78,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","Unauthorized mobile code is detected","Describe in detail how your organization implements controls around and monitors mobile code use.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-5
79,d7cd4f4274a14200b7bd98dff90d296f,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","External service provider activity is monitored to detect potential cybersecurity events","Describe in detail how your organization monitors external service providers to detect cybersecurity events.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-6
80,f6fcd6c5f2124829b62b7593e771d18b,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","Monitoring for unauthorized personnel, connections, devices, and software is performed","Describe in detail how your organization monitors for unauthorized personnel, connections, devices and software to detect potential cybersecurity events.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-7
81,fa36de93d99b4c3094c6266ef3b819a3,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Security Continuous Monitoring",DE.CM,"The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.","","Vulnerability scans are performed","Describe in detail how your organization performs vulnerability scanning in accordance with their vulnerability management program.","",faa6919f201c4bd4bfec3bc337f1e381,DE.CM-8
82,73e771b16644476398905cfe34e5bc87,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Detection Processes",DE.DP,"Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.","","Roles and responsibilities for detection are well defined to ensure accountability","Describe in detail how your organization documents and communicates roles and responsibilities for detecting security events to key personnel to ensure accountability.","",faa6919f201c4bd4bfec3bc337f1e381,DE.DP-1
83,f1e4d670c5a54562b695fdd2096c1949,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Detection Processes",DE.DP,"Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.","","Detection activities comply with all applicable requirements","Describe in detail how your organization performs detection activities in compliance with applicable requirements.","",faa6919f201c4bd4bfec3bc337f1e381,DE.DP-2
84,f2227f8be0c048d8b0932ececf6c2996,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Detection Processes",DE.DP,"Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.","","Detection processes are tested","Describe in detail how your organization tests detection processes routinely.","",faa6919f201c4bd4bfec3bc337f1e381,DE.DP-3
85,5cb0c598f7ae4b489ef180ed82d75395,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Detection Processes",DE.DP,"Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.","","Event detection information is communicated","Describe in detail how your organization communicates security event detection to appropriate parties.","",faa6919f201c4bd4bfec3bc337f1e381,DE.DP-4
86,9569318ef11749d69a1832d2ecf2a759,faa6919f201c4bd4bfec3bc337f1e381,DE,"","Detection Processes",DE.DP,"Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.","","Detection processes are continuously improved","Describe in detail how your organization has processes in place to improve detection processes on a continual basis.","",faa6919f201c4bd4bfec3bc337f1e381,DE.DP-5
87,346dcb3243ca46c393ec2434e4c33b8f,faa6919f201c4bd4bfec3bc337f1e381,RS,"","Response Planning",RS.RP,"Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.","","Response plan is executed during or after an incident","Describe in detail how your organization utilizes response plans to direct activities during a security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.RP-1
88,effabca29f164f939ceef85b571c5b5e,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).","","Personnel know their roles and order of operations when a response is needed","Describe in detail how your organization communicates to personnel their roles and order of operations when a response is needed.","",faa6919f201c4bd4bfec3bc337f1e381,RS.CO-1
89,4724f8718dde48c58902a08b751ce078,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).","","Incidents are reported consistent with established criteria","Describe in detail how your organization ensures events are reported consistent with established criteria.","",faa6919f201c4bd4bfec3bc337f1e381,RS.CO-2
90,fdba17a059ef4212ac79dcc40b21b43e,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).","","Information is shared consistent with response plans","Describe in detail how your organization shares security incident information consistent with response plans.","",faa6919f201c4bd4bfec3bc337f1e381,RS.CO-3
91,3af8eed93a894d77aef97db87c0461ca,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).","","Coordination with stakeholders occurs consistent with response plans","Describe in detail how your organization ensures coordination with stakeholders is performed consistent with response plans.","",faa6919f201c4bd4bfec3bc337f1e381,RS.CO-4
92,6290450c3ffc4e6680d80bfc1d76456d,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).","","Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ","Describe in detail how your organization ensures voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness.","",faa6919f201c4bd4bfec3bc337f1e381,RS.CO-5
93,4e44b08da2b942998b15559aee8f7736,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Analysis,RS.AN,"Analysis is conducted to ensure effective response and support recovery activities.","","Notifications from detection systems are investigated ","Describe in detail how your organization investigates alerts generated from detection systems.","",faa6919f201c4bd4bfec3bc337f1e381,RS.AN-1
94,afc9f7b7b6a240b084b373f263c89ca3,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Analysis,RS.AN,"Analysis is conducted to ensure effective response and support recovery activities.","","The impact of the incident is understood","Describe in detail how your organization has processes in place to understand the impact of the security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.AN-2
95,565f0f0f07374b30b256e9ad89c1199e,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Analysis,RS.AN,"Analysis is conducted to ensure effective response and support recovery activities.","","Forensics are performed","Describe in detail how your organization has processes in place to perform forensic activities during a security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.AN-3
96,10475c02125e435da8f6a1471f601add,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Analysis,RS.AN,"Analysis is conducted to ensure effective response and support recovery activities.","","Incidents are categorized consistent with response plans","Describe in detail how your organization has processes in place to categorize an security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.AN-4
97,3179c1a5a73549be853f88fe750092ec,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Analysis,RS.AN,"Analysis is conducted to ensure effective response and support recovery activities.","","Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)","Describe in detail the processes your organization uses to receive, analyze and respond to vulnerabilities disclosed.","",faa6919f201c4bd4bfec3bc337f1e381,RS.AN-5
98,453ce222c27b4c1e93300227be986486,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Mitigation,RS.MI,"Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.","","Incidents are contained","Describe in detail how your organization has processes in place to contain a security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.MI-1
99,1c854e1f7e2148eb96c52d1b150365a9,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Mitigation,RS.MI,"Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.","","Incidents are mitigated","Describe in detail how your organization has processes in place to mitigate a security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RS.MI-2
100,9c79ee1c29174ac6bb71d4c47b028991,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Mitigation,RS.MI,"Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.","","Newly identified vulnerabilities are mitigated or documented as accepted risks","Describe in detail how your organization has processes in place to mitigate or document newly identied vulnerabilities as accepted risks.","",faa6919f201c4bd4bfec3bc337f1e381,RS.MI-3
101,b2cbbbdabfab47fab44bf1eda627c6d9,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Improvements,RS.IM,"Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.","","Response plans incorporate lessons learned","Describe in detail how your organization has processes in place to ensure lessons learned are incorporated into response plans.","",faa6919f201c4bd4bfec3bc337f1e381,RS.IM-1
102,0d715ff145914bd4a54a475e7a2e0c50,faa6919f201c4bd4bfec3bc337f1e381,RS,"",Improvements,RS.IM,"Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.","","Response strategies are updated","Describe in detail how your organization has processes in place to ensure response plans and strategies are updated on a routine basis.","",faa6919f201c4bd4bfec3bc337f1e381,RS.IM-2
103,2d76e99610bf404caa13405dcf5a80ae,faa6919f201c4bd4bfec3bc337f1e381,RC,"","Recovery Planning",RC.RP,"Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.","","Recovery plan is executed during or after a cybersecurity incident ","Describe in detail how your organization utilizes recovery plans to direct activities when recovering or restoring from a security incident.","",faa6919f201c4bd4bfec3bc337f1e381,RC.RP-1
104,0a78b61481ba4fbd932ab440efdbb015,faa6919f201c4bd4bfec3bc337f1e381,RC,"",Improvements,RC.IM,"Recovery planning and processes are improved by incorporating lessons learned into future activities.","","Recovery plans incorporate lessons learned","Describe in detail how your organization has processes in place to ensure lessons learned are incorporated into recovery plans.","",faa6919f201c4bd4bfec3bc337f1e381,RC.IM-1
105,b763aea39d9a474e9d69c8492532155a,faa6919f201c4bd4bfec3bc337f1e381,RC,"",Improvements,RC.IM,"Recovery planning and processes are improved by incorporating lessons learned into future activities.","","Recovery strategies are updated","Describe in detail how your organization has processes in place to ensure recovery plans and strategies are updated on a routine basis.","",faa6919f201c4bd4bfec3bc337f1e381,RC.IM-2
106,7029935ac5fb4afb972d5e628847e736,faa6919f201c4bd4bfec3bc337f1e381,RC,"",Communications,RC.CO,"Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).","","Public relations are managed","Describe in detail how your organization has processes in place to manage relations with the public and communicate to them when appropriate.","",faa6919f201c4bd4bfec3bc337f1e381,RC.CO-1
107,2f542b8e9d2942f88ad7ca245ef40fc4,faa6919f201c4bd4bfec3bc337f1e381,RC,"",Communications,RC.CO,"Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).","","Reputation is repaired after an incident ","Describe in detail how your organization has processes in place to manage reputation with the public and repair any damage when it comes to reputation.","",faa6919f201c4bd4bfec3bc337f1e381,RC.CO-2
108,5dfd8870a7c24a32bd1cf8361b33281a,faa6919f201c4bd4bfec3bc337f1e381,RC,"",Communications,RC.CO,"Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).","","Recovery activities are communicated to internal and external stakeholders as well as executive and management teams","Describe in detail how your organization has processes in place to communicate recovery activities to all internal stakeholders, executives and management.","",faa6919f201c4bd4bfec3bc337f1e381,RC.CO-3
109,a54c311534ae43a8819cc6f1b18ddbbc,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Physical devices and systems within the organization are inventoried","Describe in detail how your organization maintains accurate inventories of its information systems and components.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-1
110,e7d99187de6f478088f98511c9631d2b,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Software platforms and applications within the organization are inventoried","Describe in detail how your organization maintains accurate inventories of its approved operating systems and applications.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-2
111,2b1e102a17e84e9f9bdeec6034d84b78,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Organizational communication and data flows are mapped","Describe in detail how your organization documents its data flows (e.g., ports, protocols and services) through network diagrams and/or Data Flow Diagrams (DFDs).","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-3
112,59b3ce869fdd491ea923e62631d6d9ff,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","External information systems are catalogued","Describe in detail how your organization identifies and documents information systems and services hosted or maintained by 3rd parties.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-4
113,bfb036f1adec4752839405926b818707,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","Describe in detail how your organization assigns assets and resources a classification based on the business value and criticality in accordance with VENDOR's policies and standards.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-5
114,cd05ba7f860941f3b79973808dec5eac,fba1ccacaa744df19b0fb3724c751b74,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","Describe in detail how your organization establishes and documents cybersecurity-related roles and responsibilities for the entire workforce, including third-party stakeholders (e.g., suppliers, partners, service providers, etc.).","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-6
115,7592bde1259146eb88ed6d01472d385c,fba1ccacaa744df19b0fb3724c751b74,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","The organization’s role in the supply chain is identified and communicated","Describe in detail how your organization identifies and documents its role within the supply chain (e.g., business partners, customers) to determine interdependencies and other points of concern that may impact the supply chain.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-1
116,d2f5093057444eb8812dce4a4f64a4ba,fba1ccacaa744df19b0fb3724c751b74,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","The organization’s place in critical infrastructure and its industry sector is identified and communicated","Describe in detail how your organization identifies and documents its role within its industry in an effort to identify applicable industry sector-based risk.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-2
117,fffe40a5484544c0886c22806f5002d2,fba1ccacaa744df19b0fb3724c751b74,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Priorities for organizational mission, objectives, and activities are established and communicated","Describe in detail how your organization establishes and communicates its mission and objectives to ensure organizational awareness of its critical business functions and how that impacts VENDOR’s clients.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-3
118,c433f50a4d4d4ae2a0b5d3a8fe713877,fba1ccacaa744df19b0fb3724c751b74,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Dependencies and critical functions for delivery of critical services are established","Describe in detail how your organization identifies and documents dependencies and critical functions within its business processes that impact the delivery of critical services.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-4
119,22b455813baa44f59dca63c481e9c92b,fba1ccacaa744df19b0fb3724c751b74,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)","Describe in detail how your organization identifies and documents resilience requirements to support the delivery of critical services.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-5
120,33e64954347b48c3870be8af891298a0,fba1ccacaa744df19b0fb3724c751b74,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Organizational cybersecurity policy is established and communicated","Describe in detail how your organization documents formal cybersecurity policies, standards and procedures. This cybersecurity-related documentation is clearly made available to VENDOR’s workforce.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-1
121,035e59818f804357b17d35ec9a93b7ec,fba1ccacaa744df19b0fb3724c751b74,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners","Describe in detail how your organization coordinates and aligns designated cybersecurity roles with internal and external stakeholders to ensure all applicable cybersecurity and privacy responsibilities are properly addressed.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-2
122,0f2a5952c5514eb4b9fba22b88d5f147,fba1ccacaa744df19b0fb3724c751b74,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","Describe in detail how your organization adheres to all applicable cybersecurity and privacy-related statutory, regulatory and contractual obligations.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-3
123,7e1f67ee761f483a99595d83363e0d21,fba1ccacaa744df19b0fb3724c751b74,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Governance and risk management processes address cybersecurity risks","Describe in detail how your organization maintains a documented program to govern cybersecurity and privacy risks.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-4
124,596b992e2620480ebfb65489bf76fe23,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Asset vulnerabilities are identified and documented","Describe in detail how your organization routinely scans assets to identify new and existing vulnerabilities.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-1
125,9b891e6303bd44fabec715f4717efa56,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Cyber threat intelligence is received from information sharing forums and sources","Describe in detail how your organization routinely reviews forums and other information sharing facilities for new vulnerabilities.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-2
126,ca0fb93802c640969285299b6993d196,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Threats, both internal and external, are identified and documented","Describe in detail how your organization identifies threats, both internal and external, to its information and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-3
127,158e3d8a0d7345bbbc767d4f47f0a1c3,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Potential business impacts and likelihoods are identified","Describe in detail how your organization documents the business impact of threats and documents the likelihood of exploit of weaknesses identified in their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-4
128,cf15c791037c4ed49676837eb9d33775,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","Describe in detail how your organization uses those threats, vulnerabilities, likelihoods and impacts to determine risks to their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-5
129,9e18f6e5d2ac4363bc4792d858491223,fba1ccacaa744df19b0fb3724c751b74,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Risk responses are identified and prioritized","Describe in detail how your organization maintains a repository of Corrective Action Plans to record and track mitigations to the risks to their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-6
